achomharc,appeal,achomharctha,achomharc,d'achomharc mé,ar achomharc mé,níor achomharc mé,d'achomharc tú,ar achomharc tú,níor achomharc tú,d'achomharc sé, sí,ar achomharc sé, sí,níor achomharc sé, sí,d'achomharcamar,ar achomharcamar,níor achomharcamar,d'achomharc sibh,ar achomharc sibh,níor achomharc sibh,d'achomharc siad,ar achomharc siad,níor achomharc siad,achomharcadar,ar achomharcadar,níor achomharcadar
alt,articulate,alttha,alt,d'alt mé,ar alt mé,níor alt mé,d'alt tú,ar alt tú,níor alt tú,d'alt sé, sí,ar alt sé, sí,níor alt sé, sí,d'altamar,ar altamar,níor altamar,d'alt sibh,ar alt sibh,níor alt sibh,d'alt siad,ar alt siad,níor alt siad,altadar,ar altadar,níor altadar
amharc,look,amharctha,amharc,d'amharc mé,ar amharc mé,níor amharc mé,d'amharc tú,ar amharc tú,níor amharc tú,d'amharc sé, sí,ar amharc sé, sí,níor amharc sé, sí,d'amharcamar,ar amharcamar,níor amharcamar,d'amharc sibh,ar amharc sibh,níor amharc sibh,d'amharc siad,ar amharc siad,níor amharc siad,amharcadar,ar amharcadar,níor amharcadar
amhrán,sing a song,amhrántha,amhrán,d'amhrán mé,ar amhrán mé,níor amhrán mé,d'amhrán tú,ar amhrán tú,níor amhrán tú,d'amhrán sé, sí,ar amhrán sé, sí,níor amhrán sé, sí,d'amhránamar,ar amhránamar,níor amhránamar,d'amhrán sibh,ar amhrán sibh,níor amhrán sibh,d'amhrán siad,ar amhrán siad,níor amhrán siad,amhránadar,ar amhránadar,níor amhránadar
aol,lime,aoltha,aol,d'aol mé,ar aol mé,níor aol mé,d'aol tú,ar aol tú,níor aol tú,d'aol sé, sí,ar aol sé, sí,níor aol sé, sí,d'aolamar,ar aolamar,níor aolamar,d'aol sibh,ar aol sibh,níor aol sibh,d'aol siad,ar aol siad,níor aol siad,aoladar,ar aoladar,níor aoladar
aom,attract,aomtha,aom,d'aom mé,ar aom mé,níor aom mé,d'aom tú,ar aom tú,níor aom tú,d'aom sé, sí,ar aom sé, sí,níor aom sé, sí,d'aomamar,ar aomamar,níor aomamar,d'aom sibh,ar aom sibh,níor aom sibh,d'aom siad,ar aom siad,níor aom siad,aomadar,ar aomadar,níor aomadar
aor,satirize,aortha,aor,d'aor mé,ar aor mé,níor aor mé,d'aor tú,ar aor tú,níor aor tú,d'aor sé, sí,ar aor sé, sí,níor aor sé, sí,d'aoramar,ar aoramar,níor aoramar,d'aor sibh,ar aor sibh,níor aor sibh,d'aor siad,ar aor siad,níor aor siad,aoradar,ar aoradar,níor aoradar
arg,destroy,argtha,arg,d'arg mé,ar arg mé,níor arg mé,d'arg tú,ar arg tú,níor arg tú,d'arg sé, sí,ar arg sé, sí,níor arg sé, sí,d'argamar,ar argamar,níor argamar,d'arg sibh,ar arg sibh,níor arg sibh,d'arg siad,ar arg siad,níor arg siad,argadar,ar argadar,níor argadar
at,swell,attha,at,d'at mé,ar at mé,níor at mé,d'at tú,ar at tú,níor at tú,d'at sé, sí,ar at sé, sí,níor at sé, sí,d'atamar,ar atamar,níor atamar,d'at sibh,ar at sibh,níor at sibh,d'at siad,ar at siad,níor at siad,atadar,ar atadar,níor atadar
ataifead,rerecord,ataifeadtha,ataifead,d'ataifead mé,ar ataifead mé,níor ataifead mé,d'ataifead tú,ar ataifead tú,níor ataifead tú,d'ataifead sé, sí,ar ataifead sé, sí,níor ataifead sé, sí,d'ataifeadamar,ar ataifeadamar,níor ataifeadamar,d'ataifead sibh,ar ataifead sibh,níor ataifead sibh,d'ataifead siad,ar ataifead siad,níor ataifead siad,ataifeadadar,ar ataifeadadar,níor ataifeadadar
athaol,relime,athaoltha,athaol,d'athaol mé,ar athaol mé,níor athaol mé,d'athaol tú,ar athaol tú,níor athaol tú,d'athaol sé, sí,ar athaol sé, sí,níor athaol sé, sí,d'athaolamar,ar athaolamar,níor athaolamar,d'athaol sibh,ar athaol sibh,níor athaol sibh,d'athaol siad,ar athaol siad,níor athaol siad,athaoladar,ar athaoladar,níor athaoladar
athchas,tum again,athchastha,athchas,d'athchas mé,ar athchas mé,níor athchas mé,d'athchas tú,ar athchas tú,níor athchas tú,d'athchas sé, sí,ar athchas sé, sí,níor athchas sé, sí,d'athchasamar,ar athchasamar,níor athchasamar,d'athchas sibh,ar athchas sibh,níor athchas sibh,d'athchas siad,ar athchas siad,níor athchas siad,athchasadar,ar athchasadar,níor athchasadar
athcheap,reappoint,athcheaptha,athcheap,d'athcheap mé,ar athcheap mé,níor athcheap mé,d'athcheap tú,ar athcheap tú,níor athcheap tú,d'athcheap sé, sí,ar athcheap sé, sí,níor athcheap sé, sí,d'athcheapamar,ar athcheapamar,níor athcheapamar,d'athcheap sibh,ar athcheap sibh,níor athcheap sibh,d'athcheap siad,ar athcheap siad,níor athcheap siad,athcheapadar,ar athcheapadar,níor athcheapadar
ath-chlóscríobh,retype,ath-chlóscríobhtha,ath-chlóscríobh,d'ath-chlóscríobh mé,ar ath-chlóscríobh mé,níor ath-chlóscríobh mé,d'ath-chlóscríobh tú,ar ath-chlóscríobh tú,níor ath-chlóscríobh tú,d'ath-chlóscríobh sé, sí,ar ath-chlóscríobh sé, sí,níor ath-chlóscríobh sé, sí,d'ath-chlóscríobhamar,ar ath-chlóscríobhamar,níor ath-chlóscríobhamar,d'ath-chlóscríobh sibh,ar ath-chlóscríobh sibh,níor ath-chlóscríobh sibh,d'ath-chlóscríobh siad,ar ath-chlóscríobh siad,níor ath-chlóscríobh siad,ath-chlóscríobhadar,ar ath-chlóscríobhadar,níor ath-chlóscríobhadar
athchraol,retransmit,athchraoltha,athchraol,d'athchraol mé,ar athchraol mé,níor athchraol mé,d'athchraol tú,ar athchraol tú,níor athchraol tú,d'athchraol sé, sí,ar athchraol sé, sí,níor athchraol sé, sí,d'athchraolamar,ar athchraolamar,níor athchraolamar,d'athchraol sibh,ar athchraol sibh,níor athchraol sibh,d'athchraol siad,ar athchraol siad,níor athchraol siad,athchraoladar,ar athchraoladar,níor athchraoladar
athchrom,resume,athchromtha,athchrom,d'athchrom mé,ar athchrom mé,níor athchrom mé,d'athchrom tú,ar athchrom tú,níor athchrom tú,d'athchrom sé, sí,ar athchrom sé, sí,níor athchrom sé, sí,d'athchromamar,ar athchromamar,níor athchromamar,d'athchrom sibh,ar athchrom sibh,níor athchrom sibh,d'athchrom siad,ar athchrom siad,níor athchrom siad,athchromadar,ar athchromadar,níor athchromadar
athchum,reconstruct,athchumtha,athchum,d'athchum mé,ar athchum mé,níor athchum mé,d'athchum tú,ar athchum tú,níor athchum tú,d'athchum sé, sí,ar athchum sé, sí,níor athchum sé, sí,d'athchumamar,ar athchumamar,níor athchumamar,d'athchum sibh,ar athchum sibh,níor athchum sibh,d'athchum siad,ar athchum siad,níor athchum siad,athchumadar,ar athchumadar,níor athchumadar
athdhéan,redo,athdhéantha,athdhéan,d'athdhéan mé,ar athdhéan mé,níor athdhéan mé,d'athdhéan tú,ar athdhéan tú,níor athdhéan tú,d'athdhéan sé, sí,ar athdhéan sé, sí,níor athdhéan sé, sí,d'athdhéanamar,ar athdhéanamar,níor athdhéanamar,d'athdhéan sibh,ar athdhéan sibh,níor athdhéan sibh,d'athdhéan siad,ar athdhéan siad,níor athdhéan siad,athdhéanadar,ar athdhéanadar,níor athdhéanadar
athdhear,redesign,athdheartha,athdhear,d'athdhear mé,ar athdhear mé,níor athdhear mé,d'athdhear tú,ar athdhear tú,níor athdhear tú,d'athdhear sé, sí,ar athdhear sé, sí,níor athdhear sé, sí,d'athdhearamar,ar athdhearamar,níor athdhearamar,d'athdhear sibh,ar athdhear sibh,níor athdhear sibh,d'athdhear siad,ar athdhear siad,níor athdhear siad,athdhearadar,ar athdhearadar,níor athdhearadar
athdhiol,resell,athdhioltha,athdhiol,d'athdhiol mé,ar athdhiol mé,níor athdhiol mé,d'athdhiol tú,ar athdhiol tú,níor athdhiol tú,d'athdhiol sé, sí,ar athdhiol sé, sí,níor athdhiol sé, sí,d'athdhiolamar,ar athdhiolamar,níor athdhiolamar,d'athdhiol sibh,ar athdhiol sibh,níor athdhiol sibh,d'athdhiol siad,ar athdhiol siad,níor athdhiol siad,athdhioladar,ar athdhioladar,níor athdhioladar
athdhíon,reroof,athdhíontha,athdhíon,d'athdhíon mé,ar athdhíon mé,níor athdhíon mé,d'athdhíon tú,ar athdhíon tú,níor athdhíon tú,d'athdhíon sé, sí,ar athdhíon sé, sí,níor athdhíon sé, sí,d'athdhíonamar,ar athdhíonamar,níor athdhíonamar,d'athdhíon sibh,ar athdhíon sibh,níor athdhíon sibh,d'athdhíon siad,ar athdhíon siad,níor athdhíon siad,athdhíonadar,ar athdhíonadar,níor athdhíonadar
athfhéach,reflect,athfhéachtha,athfhéach,d'athfhéach mé,ar athfhéach mé,níor athfhéach mé,d'athfhéach tú,ar athfhéach tú,níor athfhéach tú,d'athfhéach sé, sí,ar athfhéach sé, sí,níor athfhéach sé, sí,d'athfhéachamar,ar athfhéachamar,níor athfhéachamar,d'athfhéach sibh,ar athfhéach sibh,níor athfhéach sibh,d'athfhéach siad,ar athfhéach siad,níor athfhéach siad,athfhéachadar,ar athfhéachadar,níor athfhéachadar
athfhionn,rediscover,athfhionntha,athfhionn,d'athfhionn mé,ar athfhionn mé,níor athfhionn mé,d'athfhionn tú,ar athfhionn tú,níor athfhionn tú,d'athfhionn sé, sí,ar athfhionn sé, sí,níor athfhionn sé, sí,d'athfhionnamar,ar athfhionnamar,níor athfhionnamar,d'athfhionn sibh,ar athfhionn sibh,níor athfhionn sibh,d'athfhionn siad,ar athfhionn siad,níor athfhionn siad,athfhionnadar,ar athfhionnadar,níor athfhionnadar
athghabh,retake,athghabhtha,athghabh,d'athghabh mé,ar athghabh mé,níor athghabh mé,d'athghabh tú,ar athghabh tú,níor athghabh tú,d'athghabh sé, sí,ar athghabh sé, sí,níor athghabh sé, sí,d'athghabhamar,ar athghabhamar,níor athghabhamar,d'athghabh sibh,ar athghabh sibh,níor athghabh sibh,d'athghabh siad,ar athghabh siad,níor athghabh siad,athghabhadar,ar athghabhadar,níor athghabhadar
athghlan,reclean,athghlantha,athghlan,d'athghlan mé,ar athghlan mé,níor athghlan mé,d'athghlan tú,ar athghlan tú,níor athghlan tú,d'athghlan sé, sí,ar athghlan sé, sí,níor athghlan sé, sí,d'athghlanamar,ar athghlanamar,níor athghlanamar,d'athghlan sibh,ar athghlan sibh,níor athghlan sibh,d'athghlan siad,ar athghlan siad,níor athghlan siad,athghlanadar,ar athghlanadar,níor athghlanadar
athghléas,refit,athghléastha,athghléas,d'athghléas mé,ar athghléas mé,níor athghléas mé,d'athghléas tú,ar athghléas tú,níor athghléas tú,d'athghléas sé, sí,ar athghléas sé, sí,níor athghléas sé, sí,d'athghléasamar,ar athghléasamar,níor athghléasamar,d'athghléas sibh,ar athghléas sibh,níor athghléas sibh,d'athghléas siad,ar athghléas siad,níor athghléas siad,athghléasadar,ar athghléasadar,níor athghléasadar
athghor,reheat,athghortha,athghor,d'athghor mé,ar athghor mé,níor athghor mé,d'athghor tú,ar athghor tú,níor athghor tú,d'athghor sé, sí,ar athghor sé, sí,níor athghor sé, sí,d'athghoramar,ar athghoramar,níor athghoramar,d'athghor sibh,ar athghor sibh,níor athghor sibh,d'athghor siad,ar athghor siad,níor athghor siad,athghoradar,ar athghoradar,níor athghoradar
ath-imscar,redeploy,ath-imscartha,ath-imscar,d'ath-imscar mé,ar ath-imscar mé,níor ath-imscar mé,d'ath-imscar tú,ar ath-imscar tú,níor ath-imscar tú,d'ath-imscar sé, sí,ar ath-imscar sé, sí,níor ath-imscar sé, sí,d'ath-imscaramar,ar ath-imscaramar,níor ath-imscaramar,d'ath-imscar sibh,ar ath-imscar sibh,níor ath-imscar sibh,d'ath-imscar siad,ar ath-imscar siad,níor ath-imscar siad,ath-imscaradar,ar ath-imscaradar,níor ath-imscaradar
athlas,relight,athlastha,athlas,d'athlas mé,ar athlas mé,níor athlas mé,d'athlas tú,ar athlas tú,níor athlas tú,d'athlas sé, sí,ar athlas sé, sí,níor athlas sé, sí,d'athlasamar,ar athlasamar,níor athlasamar,d'athlas sibh,ar athlas sibh,níor athlas sibh,d'athlas siad,ar athlas siad,níor athlas siad,athlasadar,ar athlasadar,níor athlasadar
athleag,re-lay,athleagtha,athleag,d'athleag mé,ar athleag mé,níor athleag mé,d'athleag tú,ar athleag tú,níor athleag tú,d'athleag sé, sí,ar athleag sé, sí,níor athleag sé, sí,d'athleagamar,ar athleagamar,níor athleagamar,d'athleag sibh,ar athleag sibh,níor athleag sibh,d'athleag siad,ar athleag siad,níor athleag siad,athleagadar,ar athleagadar,níor athleagadar
athlíon,refill,athlíontha,athlíon,d'athlíon mé,ar athlíon mé,níor athlíon mé,d'athlíon tú,ar athlíon tú,níor athlíon tú,d'athlíon sé, sí,ar athlíon sé, sí,níor athlíon sé, sí,d'athlíonamar,ar athlíonamar,níor athlíonamar,d'athlíon sibh,ar athlíon sibh,níor athlíon sibh,d'athlíon siad,ar athlíon siad,níor athlíon siad,athlíonadar,ar athlíonadar,níor athlíonadar
athmheas,revise,athmheastha,athmheas,d'athmheas mé,ar athmheas mé,níor athmheas mé,d'athmheas tú,ar athmheas tú,níor athmheas tú,d'athmheas sé, sí,ar athmheas sé, sí,níor athmheas sé, sí,d'athmheasamar,ar athmheasamar,níor athmheasamar,d'athmheas sibh,ar athmheas sibh,níor athmheas sibh,d'athmheas siad,ar athmheas siad,níor athmheas siad,athmheasadar,ar athmheasadar,níor athmheasadar
athmheasc,remix,athmheasctha,athmheasc,d'athmheasc mé,ar athmheasc mé,níor athmheasc mé,d'athmheasc tú,ar athmheasc tú,níor athmheasc tú,d'athmheasc sé, sí,ar athmheasc sé, sí,níor athmheasc sé, sí,d'athmheascamar,ar athmheascamar,níor athmheascamar,d'athmheasc sibh,ar athmheasc sibh,níor athmheasc sibh,d'athmheasc siad,ar athmheasc siad,níor athmheasc siad,athmheascadar,ar athmheascadar,níor athmheascadar
athnasc,reclasp,athnasctha,athnasc,d'athnasc mé,ar athnasc mé,níor athnasc mé,d'athnasc tú,ar athnasc tú,níor athnasc tú,d'athnasc sé, sí,ar athnasc sé, sí,níor athnasc sé, sí,d'athnascamar,ar athnascamar,níor athnascamar,d'athnasc sibh,ar athnasc sibh,níor athnasc sibh,d'athnasc siad,ar athnasc siad,níor athnasc siad,athnascadar,ar athnascadar,níor athnascadar
athnocht,exhume,athnochttha,athnocht,d'athnocht mé,ar athnocht mé,níor athnocht mé,d'athnocht tú,ar athnocht tú,níor athnocht tú,d'athnocht sé, sí,ar athnocht sé, sí,níor athnocht sé, sí,d'athnochtamar,ar athnochtamar,níor athnochtamar,d'athnocht sibh,ar athnocht sibh,níor athnocht sibh,d'athnocht siad,ar athnocht siad,níor athnocht siad,athnochtadar,ar athnochtadar,níor athnochtadar
athphoU,reperforate,athphoUtha,athphoU,d'athphoU mé,ar athphoU mé,níor athphoU mé,d'athphoU tú,ar athphoU tú,níor athphoU tú,d'athphoU sé, sí,ar athphoU sé, sí,níor athphoU sé, sí,d'athphoUamar,ar athphoUamar,níor athphoUamar,d'athphoU sibh,ar athphoU sibh,níor athphoU sibh,d'athphoU siad,ar athphoU siad,níor athphoU siad,athphoUadar,ar athphoUadar,níor athphoUadar
athphós,remarry,athphóstha,athphós,d'athphós mé,ar athphós mé,níor athphós mé,d'athphós tú,ar athphós tú,níor athphós tú,d'athphós sé, sí,ar athphós sé, sí,níor athphós sé, sí,d'athphósamar,ar athphósamar,níor athphósamar,d'athphós sibh,ar athphós sibh,níor athphós sibh,d'athphós siad,ar athphós siad,níor athphós siad,athphósadar,ar athphósadar,níor athphósadar
athphreab,rebound,athphreabtha,athphreab,d'athphreab mé,ar athphreab mé,níor athphreab mé,d'athphreab tú,ar athphreab tú,níor athphreab tú,d'athphreab sé, sí,ar athphreab sé, sí,níor athphreab sé, sí,d'athphreabamar,ar athphreabamar,níor athphreabamar,d'athphreab sibh,ar athphreab sibh,níor athphreab sibh,d'athphreab siad,ar athphreab siad,níor athphreab siad,athphreabadar,ar athphreabadar,níor athphreabadar
athraon,refract,athraontha,athraon,d'athraon mé,ar athraon mé,níor athraon mé,d'athraon tú,ar athraon tú,níor athraon tú,d'athraon sé, sí,ar athraon sé, sí,níor athraon sé, sí,d'athraonamar,ar athraonamar,níor athraonamar,d'athraon sibh,ar athraon sibh,níor athraon sibh,d'athraon siad,ar athraon siad,níor athraon siad,athraonadar,ar athraonadar,níor athraonadar
athriar,readminister,athriartha,athriar,d'athriar mé,ar athriar mé,níor athriar mé,d'athriar tú,ar athriar tú,níor athriar tú,d'athriar sé, sí,ar athriar sé, sí,níor athriar sé, sí,d'athriaramar,ar athriaramar,níor athriaramar,d'athriar sibh,ar athriar sibh,níor athriar sibh,d'athriar siad,ar athriar siad,níor athriar siad,athriaradar,ar athriaradar,níor athriaradar
athscag,refilter,athscagtha,athscag,d'athscag mé,ar athscag mé,níor athscag mé,d'athscag tú,ar athscag tú,níor athscag tú,d'athscag sé, sí,ar athscag sé, sí,níor athscag sé, sí,d'athscagamar,ar athscagamar,níor athscagamar,d'athscag sibh,ar athscag sibh,níor athscag sibh,d'athscag siad,ar athscag siad,níor athscag siad,athscagadar,ar athscagadar,níor athscagadar
athscriobh,rewrite,athscriobhtha,athscriobh,d'athscriobh mé,ar athscriobh mé,níor athscriobh mé,d'athscriobh tú,ar athscriobh tú,níor athscriobh tú,d'athscriobh sé, sí,ar athscriobh sé, sí,níor athscriobh sé, sí,d'athscriobhamar,ar athscriobhamar,níor athscriobhamar,d'athscriobh sibh,ar athscriobh sibh,níor athscriobh sibh,d'athscriobh siad,ar athscriobh siad,níor athscriobh siad,athscriobhadar,ar athscriobhadar,níor athscriobhadar
athshann,reassign,athshanntha,athshann,d'athshann mé,ar athshann mé,níor athshann mé,d'athshann tú,ar athshann tú,níor athshann tú,d'athshann sé, sí,ar athshann sé, sí,níor athshann sé, sí,d'athshannamar,ar athshannamar,níor athshannamar,d'athshann sibh,ar athshann sibh,níor athshann sibh,d'athshann siad,ar athshann siad,níor athshann siad,athshannadar,ar athshannadar,níor athshannadar
athsheol,readdress,athsheoltha,athsheol,d'athsheol mé,ar athsheol mé,níor athsheol mé,d'athsheol tú,ar athsheol tú,níor athsheol tú,d'athsheol sé, sí,ar athsheol sé, sí,níor athsheol sé, sí,d'athsheolamar,ar athsheolamar,níor athsheolamar,d'athsheol sibh,ar athsheol sibh,níor athsheol sibh,d'athsheol siad,ar athsheol siad,níor athsheol siad,athsheoladar,ar athsheoladar,níor athsheoladar
athshon,resonate,athshontha,athshon,d'athshon mé,ar athshon mé,níor athshon mé,d'athshon tú,ar athshon tú,níor athshon tú,d'athshon sé, sí,ar athshon sé, sí,níor athshon sé, sí,d'athshonamar,ar athshonamar,níor athshonamar,d'athshon sibh,ar athshon sibh,níor athshon sibh,d'athshon siad,ar athshon siad,níor athshon siad,athshonadar,ar athshonadar,níor athshonadar
athspreag,reincite,athspreagtha,athspreag,d'athspreag mé,ar athspreag mé,níor athspreag mé,d'athspreag tú,ar athspreag tú,níor athspreag tú,d'athspreag sé, sí,ar athspreag sé, sí,níor athspreag sé, sí,d'athspreagamar,ar athspreagamar,níor athspreagamar,d'athspreag sibh,ar athspreag sibh,níor athspreag sibh,d'athspreag siad,ar athspreag siad,níor athspreag siad,athspreagadar,ar athspreagadar,níor athspreagadar
atóg,rebuild,atógtha,atóg,d'atóg mé,ar atóg mé,níor atóg mé,d'atóg tú,ar atóg tú,níor atóg tú,d'atóg sé, sí,ar atóg sé, sí,níor atóg sé, sí,d'atógamar,ar atógamar,níor atógamar,d'atóg sibh,ar atóg sibh,níor atóg sibh,d'atóg siad,ar atóg siad,níor atóg siad,atógadar,ar atógadar,níor atógadar
atogh,reelect,atoghtha,atogh,d'atogh mé,ar atogh mé,níor atogh mé,d'atogh tú,ar atogh tú,níor atogh tú,d'atogh sé, sí,ar atogh sé, sí,níor atogh sé, sí,d'atoghamar,ar atoghamar,níor atoghamar,d'atogh sibh,ar atogh sibh,níor atogh sibh,d'atogh siad,ar atogh siad,níor atogh siad,atoghadar,ar atoghadar,níor atoghadar
atoll,re-bore,atolltha,atoll,d'atoll mé,ar atoll mé,níor atoll mé,d'atoll tú,ar atoll tú,níor atoll tú,d'atoll sé, sí,ar atoll sé, sí,níor atoll sé, sí,d'atollamar,ar atollamar,níor atollamar,d'atoll sibh,ar atoll sibh,níor atoll sibh,d'atoll siad,ar atoll siad,níor atoll siad,atolladar,ar atolladar,níor atolladar
atrácht,retread,atráchttha,atrácht,d'atrácht mé,ar atrácht mé,níor atrácht mé,d'atrácht tú,ar atrácht tú,níor atrácht tú,d'atrácht sé, sí,ar atrácht sé, sí,níor atrácht sé, sí,d'atráchtamar,ar atráchtamar,níor atráchtamar,d'atrácht sibh,ar atrácht sibh,níor atrácht sibh,d'atrácht siad,ar atrácht siad,níor atrácht siad,atráchtadar,ar atráchtadar,níor atráchtadar
atreabh,replow,atreabhtha,atreabh,d'atreabh mé,ar atreabh mé,níor atreabh mé,d'atreabh tú,ar atreabh tú,níor atreabh tú,d'atreabh sé, sí,ar atreabh sé, sí,níor atreabh sé, sí,d'atreabhamar,ar atreabhamar,níor atreabhamar,d'atreabh sibh,ar atreabh sibh,níor atreabh sibh,d'atreabh siad,ar atreabh siad,níor atreabh siad,atreabhadar,ar atreabhadar,níor atreabhadar
bac,hinder,bactha,bac,bhac mé,ar bhac mé,níor bhac mé,bhac tú,ar bhac tú,níor bhac tú,bhac sé, sí,ar bhac sé, sí,níor bhac sé, sí,bhacamar,ar bhacamar,níor bhacamar,bhac sibh,ar bhac sibh,níor bhac sibh,bhac siad,ar bhac siad,níor bhac siad,bhacadar,ar bhacadar,níor bhacadar
ballbhasc,maim,ballbhasctha,ballbhasc,bhallbhasc mé,ar bhallbhasc mé,níor bhallbhasc mé,bhallbhasc tú,ar bhallbhasc tú,níor bhallbhasc tú,bhallbhasc sé, sí,ar bhallbhasc sé, sí,níor bhallbhasc sé, sí,bhallbhascamar,ar bhallbhascamar,níor bhallbhascamar,bhallbhasc sibh,ar bhallbhasc sibh,níor bhallbhasc sibh,bhallbhasc siad,ar bhallbhasc siad,níor bhallbhasc siad,bhallbhascadar,ar bhallbhascadar,níor bhallbhascadar
barr',surpass,barr'tha,barr',bharr' mé,ar bharr' mé,níor bharr' mé,bharr' tú,ar bharr' tú,níor bharr' tú,bharr' sé, sí,ar bharr' sé, sí,níor bharr' sé, sí,bharr'amar,ar bharr'amar,níor bharr'amar,bharr' sibh,ar bharr' sibh,níor bharr' sibh,bharr' siad,ar bharr' siad,níor bharr' siad,bharr'adar,ar bharr'adar,níor bharr'adar
